name,fide_id,date_of_birth,birthplace,died,title_year,federation,gender,notes,links,latitude,longitude
"Dervishi, Erald",4700236,1979-11-10,"Durres, Albania",NA,1998,Albania,Male,NA,https://ratings.fide.com/profile/4700236,41.3130804671646,19.474013731167
"Rizouk, Aimen",7900309,1979-08-03,"Algiers, Egypt",NA,2007,Algeria,Male,NA,https://ratings.fide.com/profile/7900309,36.7330378596135,3.02781699189887
"Haddouche, Mohamed",7900660,1984-08-19,"Sidi Bel Abbes, Algeria",NA,2014,Algeria,Male,NA,https://ratings.fide.com/profile/7900660,34.6781207349075,-0.417108701763704
"De La Riva Aguado, Oscar",6900224,1972-07-15,"Barcelona, Spain",NA,2004,Andorra,Male,NA,https://ratings.fide.com/profile/6900224,41.3648584992666,2.19974049059146
"Oms Pallise, Josep",2205521,1973-07-20,Vallfogona de Balaguer,NA,2007,Spain,Male,NA,https://ratings.fide.com/profile/2205521,41.7479695207094,0.828450268619841
"Rossetto, Héctor",100935,1922-09-08,"Bahia Blanca, Argentina",2009-01-23,1960,Argentina,Male,NA,https://ratings.fide.com/profile/100935,-38.7073858754156,-62.2631750753918
"Alonso, Salvador",105198,1974-09-07,"Buenos Aires, Argentina",NA,2009,Argentina,Male,NA,https://ratings.fide.com/profile/105198,-34.5959801960247,-58.4087319169772
"Bolbochan, Julio",NA,1920-03-20,"Buenos Aires, Argentina",1996-06-28,1977,Argentina,Male,Honorary,https://ratings.fide.com/profile/NA,-34.5780165556002,-58.4536420834829
"Felgaer, Rubén",107069,1981-04-04,"Buenos Aires, Argentina",NA,2002,Argentina,Male,NA,https://ratings.fide.com/profile/107069,-34.6359024370577,-58.4547148177792
"Giaccio, Alfredo",101613,1970-07-15,"Buenos Aires, Argentina",NA,2013,Argentina,Male,NA,https://ratings.fide.com/profile/101613,-34.5845733734801,-58.4192881789264
"Hoffman, Alejandro",100340,1966-10-26,"Buenos Aires, Argentina",NA,1998,Uruguay,Male,NA,https://ratings.fide.com/profile/100340,-34.606739581034,-58.4085093170703
"Krysa, Leandro",116807,1992-11-07,"Buenos Aires, Argentina",NA,2017,Argentina,Male,NA,https://ratings.fide.com/profile/116807,-34.6212129384721,-58.4125551883896
"Lafuente, Pablo",108820,1985-02-20,"Buenos Aires, Argentina",NA,2008,Argentina,Male,NA,https://ratings.fide.com/profile/108820,-34.5983934712712,-58.4322756775208
"Lemos, Damian",113581,1990-04-02,"Buenos Aires, Argentina",NA,2009,Argentina,Male,NA,https://ratings.fide.com/profile/113581,-34.5977026065927,-58.4646273697792
"Obregon, Andrés Carlos",111724,1986-10-22,"Buenos Aires, Argentina",NA,2014,Argentina,Male,NA,https://ratings.fide.com/profile/111724,-34.627986081161,-58.4196533107637
"Panno, oscar",100153,1935-03-17,"Buenos Aires, Argentina",NA,1955,Argentina,Male,Gaige,https://ratings.fide.com/profile/100153,-34.6361626604641,-58.4174519991661
"Pichot, Alan",110973,1998-08-13,"Buenos Aires, Argentina",NA,2016,Spain,Male,NA,https://ratings.fide.com/profile/110973,-34.6225302801024,-58.4368239228586
"Quinteros, Miguel A.",100021,1947-12-28,"Buenos Aires, Argentina",NA,1973,Argentina,Male,NA,https://ratings.fide.com/profile/100021,-34.63367545943,-58.4300087785228
